,fold,mae_log,rmse_log,mae_orig,rmse_orig
0,0,14.118052595563697,14.434821051975614,2313740291.329494,22988953096.246933
1,1,14.615509306598291,14.909413679826814,117921324.94506457,998257169.9593841
2,2,11.421289435894067,11.630753919378071,21308710.16652005,113337517.10900512
3,3,15.850307057860032,16.40406059693725,3388367258.056601,13205723298.692211
4,4,14.996692813366776,15.353729044425318,279053066.4529834,761189638.5474018
5,5,14.038446498993158,14.391543835018831,525466767.2096359,4133009816.5264077
6,6,11.93014277081545,12.140725579037548,28922442.43912966,186011628.846344
7,7,15.622310302703259,16.337072854029053,13865711274.64578,32672479158.325138
