,fold,mae_log,rmse_log,mae_orig,rmse_orig
0,0,14.504748612631568,14.837695919997172,2313740293.272887,22988953097.346508
1,1,13.943448624119071,14.18105098887024,1242387269078.0312,14219416063784.875
2,2,12.747196442773966,12.909143625571808,21308716.231338874,113337518.76150094
3,3,15.945324853124143,16.486386411710278,3388367254.555367,13205723298.619955
4,4,12.819301611177893,13.436883809378939,279053004.7355563,761189616.3621961
5,6,11.593314532206758,11.874702966555162,28922408.168216288,186011623.69554868
6,7,16.170023561840708,16.815622477163938,9.318520742837534e+16,6.317973835930474e+17
