,true_log,pred_log,true_orig,pred_orig,Latitude,Longitude,abs_error_log,rmse_error_log,abs_error_orig,rmse_error_orig
178,14.220976332738882,-0.5088306,1499999.9999999986,-0.3988018,35.8221,-76.5766,14.72980693967629,216.9672124801358,1500000.3988018022,2250001196405.5654
179,18.08520802165025,0.9952222,71499999.99999996,1.7053255,39.9167,-75.399,17.089985810766155,292.0676150121885,71499998.29467447,5112249756138452.0
180,17.453096744006448,0.06940353,37999999.99999996,0.07186865,40.6129,-75.5924,17.383693214839273,302.19278978764896,37999999.92813131,1443999994537979.8
181,15.137266664613225,9.310798,3750000.0000000023,11055.765,40.0076,-75.1338,5.82646897326801,33.94774069645478,3738944.235351565,13979703995068.697
182,16.077273760604726,-0.45515484,9599999.999999998,-0.36565027,37.7659,-75.6472,16.53242859678255,273.3211953077135,9600000.365650265,92160007020485.22
183,15.555976908243359,1.0607694,5699999.999999996,1.8885927,38.8577,-77.0989,14.495207469499768,210.11103958384186,5699998.111407276,32489978470046.516
184,13.41204494952365,-0.8329689,668000.0000000002,-0.56524336,36.7648,-77.859,14.245013840190612,202.9204193072221,668000.5652433636,446224755165.4533
185,7.783640596221253,-0.7884123,2399.999999999999,-0.54543406,37.5722,-78.5287,8.572052869151399,73.48009039152673,2400.5454340577116,5762618.380975327
186,12.07254696717504,-0.15739983,175000.00000000012,-0.14563762,38.0272,-77.3475,12.229946800377402,149.57159874006143,175000.14563761663,30625050973.18703
187,13.188152990599754,-0.5383529,533999.9999999997,-0.41629112,37.2975,-76.982,13.726505897303703,188.41696414871333,534000.4162911173,285156444599.0866
188,15.361369701884211,-0.068327904,4692000.000000004,-0.06604582,37.0759,-77.6323,15.42969760563177,238.07556820123875,4692000.066045824,22014864619774.02
189,17.45965414438061,2.2773182,38250000.00000006,8.750497,38.8387,-77.2791,15.182335905168575,230.5033235373709,38249991.249503195,1463061830587071.0
190,15.894952224644102,0.3633916,8000000.000000002,0.43819895,37.375299999999996,-76.5247,15.5315606166443,241.2293751884963,7999999.561801048,63999992988816.96
191,8.006700845440367,0.3278166,2999.9999999999995,0.38793442,38.2977,-78.4669,7.678884239872435,58.965263169361265,2999.612065583467,8997672.543993914
192,12.989976472461,-0.10212016,438000.00000000035,-0.09707895,36.6763,-77.559,13.092096633517519,171.40299426136076,438000.09707894956,191844085041.16925
193,15.894952224644102,0.41467804,8000000.000000002,0.51388323,36.9067,-76.7091,15.480274187477507,239.63888891948238,7999999.486116769,63999991777868.56
194,13.464535055593716,1.134073,704000.0,2.108291,37.2676,-76.75785,12.330462036566006,152.0402940351955,703997.8917090893,495613031530.8426
195,13.122365377402328,0.786149,499999.99999999977,1.1949276,38.2729,-77.1572,12.33621635243895,152.18223389418213,499998.80507242656,249998805073.8544
196,12.437188334739655,-0.15950805,252000.0000000001,-0.1474369,37.7075,-76.4729,12.596696384227723,158.67675979641578,252000.147436902,63504074308.22035
197,9.210440366976517,0.19153449,10000.00000000001,0.2111066,38.4137,-78.2792,9.018905877583283,81.34066322870628,9999.788893401632,99995777.91259864
198,12.899222326086994,0.2586994,399999.9999999999,0.2952444,37.44725,-76.34299999999999,12.640522938775058,159.78282016569844,399999.70475560415,159999763804.5705
199,13.592368256649284,-0.33927917,800000.0000000005,-0.28771642,37.63055,-76.52924999999999,13.931647431453971,194.09080015433804,800000.287716419,640000460346.3531
200,8.006700845440367,-0.31872606,2999.9999999999995,-0.27292532,37.7874,-78.8867,8.325426908215025,69.31273320403079,3000.272925317287,9001637.626391951
201,11.225256725762893,0.9043548,75000.00000000004,1.4703376,37.5052,-76.9972,10.320901915048172,106.52101634004501,74998.52966237073,5624779451.517502
202,12.834683971615659,-0.51283544,375000.00000000006,-0.40120468,37.3566,-75.8995,13.347519414635526,178.1562745240723,375000.4012046755,140625300903.66757
203,12.834683971615659,-0.1225394,375000.00000000006,-0.11532895,37.8863,-76.4228,12.957223372670041,167.8896375292668,375000.1153289527,140625086496.72784
204,9.210440366976517,0.27596518,10000.00000000001,0.31780198,38.2463,-78.0134,8.934475183003205,79.82484679570014,9999.682198017845,99993644.061355
205,16.677711496036597,0.6078292,17499999.999999985,0.83644056,37.1915,-77.23889999999999,16.069882282894202,258.241116586077,17499999.163559422,306249970724580.44
206,13.153863982446317,-0.13859314,515999.9999999997,-0.12941784,37.9155,-76.74600000000001,13.29245711971057,176.68941627934421,516000.1294178364,266256133559.22388
207,12.899222326086994,-0.2443561,399999.9999999999,-0.21679132,36.7199,-77.1038,13.143578421877857,172.7536537320532,400000.21679131675,160000173433.1004
208,12.611541086966115,0.5581902,299999.99999999977,0.74750704,38.1882,-77.6525,12.053350860411244,145.28326696417648,299999.25249296403,89999551496.33719
209,14.80876270134486,0.98132783,2700000.0,1.6679965,38.4213,-77.4603,13.827434869599712,191.197955073022,2699998.3320034742,7289990992821.543
210,11.80560254159177,-0.12614036,133999.9999999999,-0.11850888,37.1169,-76.8883,11.931742897655612,142.36648857575514,134000.11850888273,17956031760.394615
211,12.966880811009803,-0.8769662,428000.00000000023,-0.5839568,36.9218,-77.2618,13.843846989427009,191.65209946666727,428000.5839567783,183184499867.3432
212,15.201805169084134,-0.021586716,4000000.0000000005,-0.02135539,38.1237,-76.76525000000001,15.223391885259213,231.75166049217606,4000000.021355391,16000000170843.129
213,15.150511887854474,0.89117587,3799999.9999999995,1.4379947,38.8577,-77.0989,14.25933602172746,203.3286637805343,3799998.562005281,14439989071242.203
214,11.002116507732017,-0.6486525,60000.000000000015,-0.47725028,38.0231,-78.5555,11.650769001685722,135.74041833064092,60000.47725027801,3600057270.261129
215,18.915376991886035,0.8610089,164000000.0000002,1.365546,36.6778,-76.3024,18.054368109363452,325.96020782840003,163999998.63445422,2.6895999552100988e+16
216,12.989976472461,-1.2106111,438000.00000000035,-0.7019849,36.6763,-77.559,14.20058757742621,201.65668754415162,438000.7019848827,191844614939.25003
217,13.527829818844937,0.8910328,749999.9999999998,1.437646,38.8387,-77.2791,12.636797003865384,159.68863851690114,749998.5623539684,562497843533.0194
218,12.611541086966115,1.1557888,299999.99999999977,2.176528,38.8577,-77.0989,11.455752307707387,131.23426093554312,299997.8234720228,89998694087.95094
219,12.206077645517674,-0.6630148,199999.99999999997,-0.48470452,36.7199,-77.1038,12.869092474676457,165.6135411217742,200000.48470452425,40000193882.04464
