,fold,mae_log,rmse_log,mae_orig,rmse_orig,samples
0,0,14.24628083934894,14.560796113070671,2313740292.3890324,22988953096.782864,135
1,1,14.029878690127257,14.303631931171905,31147927.300423846,97404892.46863207,131
2,2,10.926892262713398,11.151915936073229,21308707.458426975,113337517.36236934,115
3,3,15.929711564574749,16.45364574121198,3388367257.441114,13205723298.346464,38
4,4,14.375501620406162,14.832077942953969,279053058.1079065,761189638.589164,50
5,5,13.88717138415256,14.236948043755877,525466764.73504853,4133009811.4141283,111
6,6,12.391166301250966,12.574997665138326,28922449.553729936,186011632.3811807,120
7,7,19.60659159179041,20.06471280818506,13023705564.155542,32206694893.073685,46
