,true_log,pred_log,true_orig,pred_orig,Latitude,Longitude,outer_fold,abs_error_log,rmse_error_log,abs_error_orig,rmse_error_orig
0,12.055255569732177,0.8985889285695604,171999.99999999988,1.4561348830108736,30.221299999999996,-85.6654,0,11.156666641162616,124.47121054203072,171998.54386511687,29583499091.72053
1,10.085850775128717,-0.6332021363342877,23999.99999999999,-0.4691109029504321,29.58175,-83.1743,0,10.719052911463006,114.89809531874354,24000.46911090294,576022517.5434062
2,11.002116507732017,-0.17677016944684587,60000.000000000015,-0.16202764595737593,29.892200000000003,-84.8276,0,11.178886677178863,124.96750734120707,60000.16202764597,3600019443.3437696
3,10.491301994830229,-0.3891567439791319,35999.99999999998,-0.3223719524272234,29.9261,-85.21279999999999,0,10.880458738809361,118.384382366933,36000.3223719524,1296023210.8844967
4,10.085850775128717,-0.31509877680660003,23999.99999999999,-0.27028320838532993,30.30275,-83.9543,0,10.400949551935318,108.17975158190349,24000.270283208374,576012973.667055
5,12.498745990829315,1.1632089903416367,267999.99999999977,2.2001861831311236,30.4581,-84.2779,0,11.335537000487678,128.49439908942517,267997.7998138166,71822820705.04652
6,8.987321812850125,-0.605377113275565,8000.0000000000055,-0.45413146645107394,30.2414,-84.8829,0,9.59269892612569,92.01987268729297,8000.454131466457,64007266.30969869
7,9.90353755128617,-0.4976245044004417,20000.000000000015,-0.3920268166983472,30.444200000000002,-83.47,0,10.401162055686612,108.18417210865495,20000.392026816713,400015681.2263535
8,10.373522431293592,-0.5802851764406647,31999.999999999993,-0.44026128049303714,30.01065,-83.6235,0,10.953807607734257,119.98590110725688,32000.440261280484,1024028176.915781
9,11.002116507732017,0.1728493202947773,60000.000000000015,0.1886869805853211,30.149250000000002,-84.37415,0,10.82926718743724,117.27302781690489,59999.81131301943,3599977357.5979347
10,16.951004817371683,0.42131886821761555,22999999.999999974,0.5239701465850183,30.8884,-81.5544,0,16.529685949154068,273.23051757766143,22999999.47602983,528999975897372.4
11,11.156264806643742,-0.6281211779383535,70000.00000000001,-0.4664066131613712,30.195599999999995,-82.9915,0,11.784385984582096,138.87175303361494,70000.46640661318,4900065297.14338
12,16.095850144260485,-0.58619866385155,9780000.000000013,-0.44356152078226374,29.58175,-83.1743,0,16.682048808112036,278.2907524362322,9780000.443561533,95648408676063.8
13,14.850828351373643,0.08802961755102579,2815999.999999999,0.09202046452107153,29.8382,-84.7899,0,14.762798733822617,217.94022645535466,2815999.9079795345,7929855481740.747
14,14.531397714252142,-0.19410116766760865,2045999.9999999986,-0.1764254190656207,30.457800000000002,-83.8865,0,14.725498881919751,216.84031732141986,2046000.1764254177,4186116721932.8403
15,21.421400559514908,1.2347573606209596,2009999999.999999,2.437544335883091,30.4581,-84.2779,0,20.186643198893947,407.50056363945123,2009999997.5624547,4.040099990201068e+18
16,12.310437165348775,-0.14751894926134934,221999.99999999983,-0.1371539121295619,30.2414,-84.8829,0,12.457956114610123,155.20067055355176,222000.13715391196,49284060896.35572
17,15.100602690200137,-0.835289074623254,3615000.0000000023,-0.566250922542842,30.444200000000002,-83.47,0,15.935891764823392,253.952646340166,3615000.566250925,13068229093994.508
18,18.603002309079653,0.9803462146884767,119999999.9999999,1.6653788755226118,30.6095,-81.8085,0,17.622656094391175,310.5580078211824,119999998.33462103,1.439999960030905e+16
19,15.10308922208316,-0.21270204427516481,3624000.0000000033,-0.19160303215921737,30.01065,-83.6235,0,15.315791266358325,234.57346211465793,3624000.191603035,13133377388738.836
20,15.38412668421143,0.15715466177679538,4799999.999999999,0.17017658149542642,30.149250000000002,-84.37415,0,15.226972022434635,231.86067697200713,4799999.829823418,23039998366304.836
21,13.017005083966255,-0.41652508889951934,449999.99999999994,-0.3406660293758112,31.2761,-83.2297,0,13.433530172865774,180.45973290529517,450000.3406660293,202500306599.54242
22,14.731801689838349,-0.37822565511798034,2499999.9999999995,-0.31492410765886525,31.1884,-83.7688,0,15.110027344956329,228.312926365328,2500000.3149241074,6250001574620.636
23,12.899222326086994,-0.5951421510813704,399999.9999999999,-0.44851583377492277,31.154,-83.4305,0,13.494364477168364,182.09787264266342,400000.44851583365,160000358812.86807
24,11.002116507732017,-0.6338730512321111,60000.000000000015,-0.4694669648977461,31.923,-83.7681,0,11.635989558964129,135.39625301632222,60000.46946696491,3600056336.2561884
25,13.199326270390594,-0.01673853862407093,540000.0000000001,-0.01659922765678136,31.5333,-84.2164,0,13.216064809014666,174.66436903607587,540000.0165992278,291600017927.16626
26,13.487007879880162,-0.45454583322502673,719999.9999999995,-0.3652638214213882,30.8747,-84.2344,0,13.941553713105188,194.36691993539705,720000.365263821,518400525980.03564
27,13.815511557963774,-0.9730058530485093,999999.9999999997,-0.6220547189803725,31.038,-83.0626,0,14.788517411012283,218.70024721581342,1000000.6220547187,1000001244109.8243
28,17.034386422832473,0.10934073713318293,24999999.999999963,0.1155423923072647,30.8339,-83.2677,0,16.92504568569929,286.4571714630081,24999999.88445757,624999994222878.5
29,12.468440756144114,-0.9350697316725274,259999.9999999998,-0.6074415091830423,31.2254,-84.1942,0,13.403510487816641,179.65409339701068,260000.60744150897,67600315869.95365
30,14.24729362374025,-0.19131035243743966,1539999.9999999988,-0.174123764329321,30.863699999999998,-83.9194,0,14.438603976177689,208.47328478089415,1540000.174123763,2371600536301.2207
31,13.42246945133505,-0.351956900486341,674999.9999999998,-0.2966895663392311,31.4575,-83.5266,0,13.774426351821392,189.73482132175158,675000.2966895661,455625400531.00226
