,fold,mae_log,rmse_log,mae_orig,rmse_orig
0,0,15.230416287595155,15.54074158443272,2313740294.1076264,22988953097.45876
1,1,14.886608437585037,15.195426425937837,7.544548169001627e+16,8.635130063058514e+17
2,2,11.799161655798958,11.963531781202335,21308711.77441901,113337515.419824
3,3,17.058338054410264,17.545610882333104,3388367255.4061685,13205723299.47646
4,4,12.849488086679386,13.359953780726924,146555793269.09436,1034342728478.9496
5,5,13.96700134226782,14.33062159367107,525466766.619463,4133009816.003378
6,6,13.00177235379906,13.204138628988318,28922448.148900922,186011631.7801979
7,7,14.958958776237038,15.55367107612278,167285493673123.1,1132818269711943.8
